"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"INFY","EQ","01-Feb-2024","1,660.90","1,659.55","1,677.00","1,650.35","1,655.00","1,657.05","1,662.81","57,60,011","9,57,78,04,761.60","1,69,224","31,99,270","55.54"
"INFY","EQ","02-Feb-2024","1,657.05","1,666.05","1,718.50","1,665.00","1,693.30","1,693.35","1,697.40","78,58,483","13,33,90,26,486.55","2,59,562","39,21,749","49.90"
"INFY","EQ","05-Feb-2024","1,693.35","1,694.75","1,700.75","1,681.85","1,683.40","1,687.20","1,690.95","36,34,135","6,14,51,32,559.05","1,37,014","25,54,793","70.30"
"INFY","EQ","06-Feb-2024","1,687.20","1,686.75","1,733.00","1,673.95","1,728.00","1,729.45","1,717.32","76,94,265","13,21,34,81,875.40","2,50,855","51,32,644","66.71"
"INFY","EQ","07-Feb-2024","1,729.45","1,729.00","1,729.00","1,686.85","1,695.00","1,693.75","1,699.46","46,13,877","7,84,11,02,727.05","2,73,680","30,23,295","65.53"
"INFY","EQ","08-Feb-2024","1,693.75","1,698.00","1,706.35","1,682.80","1,693.00","1,692.10","1,692.50","59,19,715","10,01,91,45,488.00","2,37,027","33,27,271","56.21"
"INFY","EQ","09-Feb-2024","1,692.10","1,684.70","1,692.90","1,659.80","1,670.00","1,669.35","1,669.56","46,00,004","7,68,00,00,364.95","2,28,352","22,55,319","49.03"
"INFY","EQ","12-Feb-2024","1,669.35","1,670.35","1,692.95","1,670.35","1,677.20","1,680.10","1,684.63","35,55,808","5,99,02,36,481.55","1,72,951","23,24,220","65.36"
"INFY","EQ","13-Feb-2024","1,680.10","1,683.00","1,689.10","1,663.50","1,681.50","1,684.55","1,676.31","26,96,481","4,52,01,35,184.85","1,43,586","18,36,216","68.10"
"INFY","EQ","14-Feb-2024","1,684.55","1,660.20","1,669.45","1,635.50","1,666.80","1,666.20","1,648.69","37,68,579","6,21,32,15,180.90","1,62,385","20,46,752","54.31"
"INFY","EQ","15-Feb-2024","1,666.20","1,677.00","1,687.75","1,661.60","1,680.00","1,676.35","1,673.73","48,34,391","8,09,14,76,059.50","1,91,636","28,81,563","59.61"
"INFY","EQ","16-Feb-2024","1,676.35","1,689.00","1,709.00","1,687.95","1,698.65","1,701.65","1,699.40","48,80,654","8,29,41,63,221.15","1,61,141","30,29,407","62.07"
"INFY","EQ","19-Feb-2024","1,701.65","1,705.00","1,711.50","1,687.70","1,699.00","1,699.75","1,702.16","36,90,993","6,28,26,64,069.35","1,00,191","25,43,379","68.91"
"INFY","EQ","20-Feb-2024","1,699.75","1,685.00","1,694.25","1,668.75","1,685.40","1,685.25","1,680.60","37,06,389","6,22,89,68,391.50","1,58,582","24,12,465","65.09"
"INFY","EQ","21-Feb-2024","1,685.25","1,674.00","1,674.00","1,645.30","1,652.00","1,655.55","1,659.26","43,00,508","7,13,56,69,393.95","1,99,597","25,82,366","60.05"
"INFY","EQ","22-Feb-2024","1,655.55","1,665.00","1,684.60","1,644.40","1,678.25","1,681.35","1,664.73","58,41,277","9,72,41,35,539.35","2,01,360","23,13,481","39.61"
"INFY","EQ","23-Feb-2024","1,681.35","1,697.00","1,698.45","1,671.90","1,675.05","1,676.85","1,680.38","53,73,072","9,02,88,06,812.45","1,59,253","31,87,718","59.33"
"INFY","EQ","26-Feb-2024","1,676.85","1,674.95","1,674.95","1,645.00","1,660.00","1,660.15","1,656.14","27,82,438","4,60,80,93,160.55","1,38,789","16,94,781","60.91"
"INFY","EQ","27-Feb-2024","1,660.15","1,661.00","1,671.10","1,652.80","1,664.50","1,663.60","1,660.89","51,59,088","8,56,86,54,402.45","1,77,632","39,76,932","77.09"
"INFY","EQ","28-Feb-2024","1,663.60","1,670.00","1,687.80","1,662.05","1,666.00","1,671.25","1,673.95","31,88,916","5,33,80,82,989.15","1,68,195","17,23,575","54.05"
"INFY","EQ","29-Feb-2024","1,671.25","1,665.00","1,682.25","1,653.30","1,674.00","1,673.90","1,669.82","78,14,722","13,04,91,88,571.25","1,99,180","48,12,766","61.59"
